""	"Christop"	"Christia"	"John"	"James"	"William"	"Jionni"	"Naksh"	"Jometh"	"Viaan"	"Shenouda"	"Jefre"	"Robert"	"Alfy"	"Dilanjan"	"Joseph"	"Trayvond"	"Kimario"	"Terdell"	"Chandar"	"Pajtim"	"Eriksson"	"Ebay"	"Andamo"	"Tamija"	"Jamiroquan"	"Demea"	"Johnbenedict"	"Tio"	"Charles"	"Sunel"	"Johnatho"	"Tyrann"	"Coopar"	"Kya"	"Itzae"	"Quarterrio"	"Dmoni"	"Fardy"	"Jencarlos"	"Travolta"	"Jeremih"	"Jervontae"	"Zaykeese"	"Starbuck"	"Albieri"	"Sarith"	"Amareion"	"Tremelle"	"Mackenzi"	"Quaysean"	"Ardan"
"0.999382080329557"	1	1	0.999382080329557	0.999588053553038	0.999176107106076	1	1	1	1	1	1	0.999794026776519	1	1	0.998146240988671	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998764160659114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999396621078037"	1	1	0.999396621078037	0.999597747385358	0.999195494770716	1	1	1	1	1	1	0.999798873692679	1	1	0.99798873692679	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998592115848753	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999386377582328"	1	1	0.999386377582328	0.999590918388218	0.999181836776437	1	1	1	1	1	1	0.999795459194109	1	1	0.997954591941092	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998772755164655	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999382207578254"	1	1	0.999382207578254	0.999588138385502	0.999176276771005	1	1	1	1	1	1	0.999794069192751	1	1	0.997734761120264	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998764415156507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999391110209052"	1	1	0.999391110209052	0.999594073472701	0.999188146945403	1	1	1	1	1	1	0.999797036736351	1	1	0.997564440836209	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998782220418104	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999399038461538"	1	1	0.999399038461538	0.999599358974359	0.999198717948718	1	1	1	1	1	1	0.99979967948718	1	1	0.997596153846154	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998798076923077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999394061805696"	1	1	0.999394061805696	0.999596041203797	0.999192082407594	1	1	1	1	1	1	0.999798020601899	1	1	0.997576247222783	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998788123611392	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999402747362134"	1	1	0.999402747362134	0.999800915787378	0.999203663149512	1	1	1	1	1	1	0.999601831574756	1	1	0.997610989448537	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998805494724268	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999410145497444"	1	1	0.999410145497444	0.999803381832481	0.999213527329925	1	1	1	1	1	1	0.999606763664963	1	1	0.997640581989776	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998820290994888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999442379182156"	1	1	0.999442379182156	0.999814126394052	0.999256505576208	1	1	1	1	1	1	0.999628252788104	1	1	0.997955390334572	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998698884758364	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999440715883669"	1	1	0.999440715883669	0.999813571961223	0.999254287844892	1	1	1	1	1	1	0.999627143922446	1	1	0.997576435495899	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998695003728561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999428135722455"	1	1	0.999428135722455	0.999809378574152	0.999237514296607	1	1	1	1	1	1	0.999618757148304	1	1	0.997521921463973	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998665650019062	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999427917620137"	1	1	0.999427917620137	0.999809305873379	0.999237223493516	1	1	1	1	1	1	0.999618611746758	1	1	0.997330282227307	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998665141113654	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999472573839662"	1	1	0.999472573839662	0.999824191279888	0.99929676511955	1	1	1	1	1	1	0.999648382559775	1	1	0.997538677918425	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998417721518987	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999508679986898"	1	1	0.999508679986898	0.999836226662299	0.999344906649198	1	1	1	1	1	1	0.999672453324599	1	1	0.997707173272191	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998526039960694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99950314673733"	1	1	0.99950314673733	0.999834382245777	0.999337528983107	1	1	1	1	1	1	0.999668764491554	1	1	0.997846969195098	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998509440211991	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999504868790229"	1	1	0.999504868790229	0.99983495626341	0.999339825053639	1	1	1	1	1	1	0.99966991252682	1	1	0.997689387687737	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998514606370688	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999509081983309"	1	1	0.999509081983309	0.999836360661103	0.999181803305515	1	1	1	1	1	1	0.999672721322206	1	1	0.997872688594338	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998527245949926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999517063747585"	1	1	0.999517063747585	0.999839021249195	0.999034127495171	1	1	1	1	1	1	0.99967804249839	1	1	0.997746297488731	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998551191242756	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999530295913574"	1	1	0.999530295913574	0.999843431971192	0.999060591827149	1	1	1	1	1	1	0.999686863942383	1	1	0.998121183654298	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998590887740723	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999383667180277"	1	1	0.999383667180277	0.999691833590139	0.999075500770416	1	1	1	1	1	1	0.999845916795069	1	1	0.997996918335901	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998613251155624	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999394856278366"	1	1	0.999394856278366	0.999697428139183	0.999092284417549	1	1	1	1	1	1	0.999546142208775	1	1	0.99803328290469	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998487140695915	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.99925606308585"	1	1	0.99925606308585	0.99955363785151	0.99910727570302	1	1	1	1	1	1	0.99940485046868	1	1	0.998065764023211	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998363338788871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999274099883856"	1	1	0.999274099883856	0.999709639953542	0.999128919860627	1	1	1	1	1	1	0.999564459930314	1	1	0.998257839721254	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998403019744483	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999286733238231"	1	1	0.999286733238231	0.999714693295292	0.999144079885877	1	1	1	1	1	1	0.999429386590585	1	1	0.998288159771755	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998430813124108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999288154897494"	1	1	0.999288154897494	0.999572892938497	0.999145785876993	1	1	1	1	1	1	0.999430523917995	1	1	0.998291571753986	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998433940774487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999444058373871"	1	1	0.999444058373871	0.999583043780403	0.999027102154274	1	1	1	1	1	1	0.999305072967338	1	1	0.99819318971508	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998471160528145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999454595036815"	1	1	0.999454595036815	0.999590946277611	0.999045541314426	1	1	1	1	1	1	0.999318243796019	1	1	0.998363785110445	1	1	1	1	1	1	1	0.710799018271066	1	1	1	1	1	0.998227433869648	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999601275917065"	1	1	0.999601275917065	0.999468367889421	0.999069643806486	1	1	1	1	1	0.761031366294524	0.999335459861776	1	1	0.998405103668262	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998272195640617	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999604221635884"	1	1	0.999604221635884	0.999472295514512	0.999076517150396	1	1	1	1	1	1	0.99934036939314	1	1	0.998284960422164	1	1	1	1	1	1	1	1	1	1	1	1	1	0.998021108179419	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999738971547899"	1	1	0.999738971547899	0.999477943095797	0.999086400417646	1	1	1	1	1	1	0.999347428869747	1	1	0.998303315061342	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99791177238319	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999743622612486"	1	1	0.999743622612486	0.999487245224971	0.9991026791437	1	1	1	1	1	1	0.999359056531214	1	1	0.998589924368671	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997820792206127	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"0.999734501526616"	1	1	0.999734501526616	0.999469003053232	0.999203504579849	1	1	1	1	1	1	0.999336253816541	1	1	0.998539758396389	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997345015266162	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
